complexity,loss,equation,score,sympy_format,lambda_format
1,0.0497800243423952,-2.58739671024661,0.0,-2.58739671024661,PySRFunction(X=>-2.58739671024661)
3,0.0333213109105893,-2.1822786006567756 - x7,0.20070831317960153,-x7 - 2.1822786006567756,PySRFunction(X=>-x7 - 2.1822786006567756)
4,0.0277641341103293,-2.388907933704628 - square(x7),0.18245211174623693,-x7**2 - 2.388907933704628,PySRFunction(X=>-x7**2 - 2.388907933704628)
5,0.019018662041103,-1.8205118346134943 - (x1 ^ x5),0.37832433803257204,-x1**x5 - 1.8205118346134943,PySRFunction(X=>-x1**x5 - 1.8205118346134943)
6,0.0106152628308649,-2.28009576072408 - abs(x4 - 0.5184675381686342),0.5831278546257133,-Abs(x4 - 1*0.5184675381686342) - 2.28009576072408,PySRFunction(X=>-Abs(x4 - 1*0.5184675381686342) - 2.28009576072408)
7,0.0100923824325788,-2.0660973068513195 - sqrt(abs(0.5048730157488482 - x4)),0.050511930486966214,-sqrt(Abs(x4 - 0.5048730157488482)) - 2.0660973068513195,PySRFunction(X=>-sqrt(Abs(x4 - 0.5048730157488482)) - 2.0660973068513195)
8,0.007805999006511,(square(x4 * x5) * 50.003751705100875) - 2.79342561072304,0.2568883832022044,(x4**2*x5**2)*50.003751705100875 - 1*2.79342561072304,PySRFunction(X=>(x4**2*x5**2)*50.003751705100875 - 1*2.79342561072304)
9,0.0037521301178215,x1 + (((x4 * x5) * 12.156052307147023) - 3.562115950970007),0.7325688313533252,x1 + x4*x5*12.156052307147023 - 1*3.562115950970007,PySRFunction(X=>x1 + x4*x5*12.156052307147023 - 1*3.562115950970007)
10,0.0019117902670812,((square(x5) * (x6 + -0.7730605111055443)) - -0.05816854529061577) * -46.71639879939137,0.6742835944692723,(x5**2*(x6 - 0.7730605111055443) - 1*(-0.05816854529061577))*(-46.71639879939137),PySRFunction(X=>(x5**2*(x6 - 0.7730605111055443) - 1*(-0.05816854529061577))*(-46.71639879939137))
11,0.001230997441751,((((x5 * x4) * 34.53454203499423) + -1.7003122845738328) * x5) - 2.635814366270755,0.44021534665083,x5*(x5*x4*34.53454203499423 - 1.7003122845738328) - 1*2.635814366270755,PySRFunction(X=>x5*(x5*x4*34.53454203499423 - 1.7003122845738328) - 1*2.635814366270755)
13,0.000436375181842,((((x5 * x4) + -0.04492051545787442) * (x5 + -0.049341397048540736)) - 0.05667705776850466) * 47.1805673428239,0.5185388329295653,((x5 - 0.049341397048540736)*(x4*x5 - 0.04492051545787442) - 1*0.05667705776850466)*47.1805673428239,PySRFunction(X=>((x5 - 0.049341397048540736)*(x4*x5 - 0.04492051545787442) - 1*0.05667705776850466)*47.1805673428239)
15,0.0001067821059155,(((x4 + -0.19444369214117382) * (((x6 * x5) * x5) - 0.0014945892205902296)) - 0.04263027529824958) * 62.280230745474434,0.7038560086273816,((x4 - 0.19444369214117382)*(x5*x5*x6 - 1*0.0014945892205902296) - 1*0.04263027529824958)*62.280230745474434,PySRFunction(X=>((x4 - 0.19444369214117382)*(x5*x5*x6 - 1*0.0014945892205902296) - 1*0.04263027529824958)*62.280230745474434)
17,6.118763603239184e-05,(((x4 + -0.19175249570388136) * (((x5 * (x6 + 0.16482638940931946)) * x5) + -0.002427705742657528)) - 0.05282924191632154) * 50.483875385414386,0.27842261069345176,((x4 - 0.19175249570388136)*(x5*x5*(x6 + 0.16482638940931946) - 0.002427705742657528) - 1*0.05282924191632154)*50.483875385414386,PySRFunction(X=>((x4 - 0.19175249570388136)*(x5*x5*(x6 + 0.16482638940931946) - 0.002427705742657528) - 1*0.05282924191632154)*50.483875385414386)
